attack_row_id,date_complete,annee,pays,zone,localite,activite,type_attaque,attack_latitude,attack_longitude,species,nearest_gbif_record_id,nearest_distance_km,gbif_coordinate_uncertainty_m,distance_band,occurrences_within_25km,occurrences_within_100km,juvenile_occurrences_within_100km,gbif_observed_at,gbif_source_url
137,1849-01-27,1849,AUSTRALIA,New South Wales,Sydney,boat capsized,Invalid,-33.8698439,151.2082848,Galeocerdo cuvier,6133086834,663.7,5.0,pas_de_proximite_100km,0,0,0,2026-02-02T13:14:46,https://www.gbif.org/occurrence/6133086834
137,1849-01-27,1849,AUSTRALIA,New South Wales,Sydney,boat capsized,Invalid,-33.8698439,151.2082848,Rhincodon typus,6235620031,2049.71,28818.0,pas_de_proximite_100km,0,0,0,2026-02-19T12:26,https://www.gbif.org/occurrence/6235620031
141,1850-10-21,1850,USA,Hawaii,,Swimming after his hat,Unprovoked,19.5938015,-155.4283701,Carcharhinus leucas,6334261088,4741.35,30175.0,pas_de_proximite_100km,0,0,0,2026-05-21T11:26,https://www.gbif.org/occurrence/6334261088
141,1850-10-21,1850,USA,Hawaii,,Swimming after his hat,Unprovoked,19.5938015,-155.4283701,Carcharodon carcharias,6480838932,1194.6,1584228.0,pas_de_proximite_100km,0,0,0,2026-06-24T10:02:07,https://www.gbif.org/occurrence/6480838932
141,1850-10-21,1850,USA,Hawaii,,Swimming after his hat,Unprovoked,19.5938015,-155.4283701,Galeocerdo cuvier,6470061880,65.6,30545.0,proximite_regionale,0,3,0,2026-07-13T09:59,https://www.gbif.org/occurrence/6470061880
141,1850-10-21,1850,USA,Hawaii,,Swimming after his hat,Unprovoked,19.5938015,-155.4283701,Rhincodon typus,6194532302,61.33,111319.49,proximite_regionale,0,1,0,2026-01-22,https://www.gbif.org/occurrence/6194532302
150,1952-07-28,1852,ATLANTIC OCEAN,,,Inconnue,Invalid,13.581921,-38.320312,Carcharhinus leucas,6178405378,4144.72,70575.0,pas_de_proximite_100km,0,0,0,2026-02-18T16:22,https://www.gbif.org/occurrence/6178405378
150,1952-07-28,1852,ATLANTIC OCEAN,,,Inconnue,Invalid,13.581921,-38.320312,Carcharodon carcharias,6400181485,4349.71,43.0,pas_de_proximite_100km,0,0,0,2026-06-05T11:25:01,https://www.gbif.org/occurrence/6400181485
150,1952-07-28,1852,ATLANTIC OCEAN,,,Inconnue,Invalid,13.581921,-38.320312,Galeocerdo cuvier,6188381210,2694.44,30683.0,pas_de_proximite_100km,0,0,0,2026-02-23T09:32,https://www.gbif.org/occurrence/6188381210
150,1952-07-28,1852,ATLANTIC OCEAN,,,Inconnue,Invalid,13.581921,-38.320312,Rhincodon typus,6133129315,3148.9,31179.0,pas_de_proximite_100km,0,0,0,2026-01-30T11:50:16,https://www.gbif.org/occurrence/6133129315
